compound_stem,SMILES,u1,u2,u3
A02223393,Oc1ccc(cc1)N1CCN(CC(=O)N(C2CC2)C2CCS(=O)(=O)C2)CC1,-0.43509027,0.66643816,3.5780568
A02282032,Cc1cc(ccc1NC(=O)C1=NOC2(C1)CCCNC2)C#N,0.6927256,3.3769443,7.1858
A02283321,Cn1cc(cn1)N1CCC2(CCN(C2)C(=O)c2cccn2C)C1=O,-0.13342631,-0.47790077,1.7661494
A02294693,CN(C)C(=O)C1Cn2ccnc2C2(CCN(CC2)S(=O)(=O)c2ccc(F)cc2)O1,-0.621978,-1.7275345,0.37168804
A02324337,CCCn1c(nc2ccccc12)C(C)NC(C)=O,-0.55540854,1.0150534,1.8014252
A02325990,CC(Cn1nc(C)cc1C)C(O)=O,0.041748278,-0.25987265,2.204684
A02345169,CN(C)C(=O)N1CCC2(CC1)C(CC(=O)N2C)c1cnn(C)c1,-0.9298447,-1.5195469,1.424651
A02364339,O=C(N1CCc2ncnc(C3CCOC3)c2CC1)c1ccoc1,-0.27223876,-2.294736,1.6093806
A02381288,CC(Oc1ccccc1)C(=O)Nc1ccc(F)c(c1)S(=O)(=O)N1CCOCC1,-0.078413054,3.35127,5.4317393
A02394850,Cn1cc(cn1)N1C2CCN(C2CC1=O)C(=O)Cc1ccccc1,2.6010756,3.8177037,9.211488
A02423675,CC1(C)NCCN2C1SCC2=O,-0.5207849,2.7948427,5.5085225
A02458311,CCS(=O)(=O)N1Cc2ccccc2CC1C(=O)OCC(=O)N(C(C)C)C(C)C,-1.0185078,1.0851617,3.8806477
A02473941,COc1ccc(NC2COC3(CCN(Cc4ccsc4)C3)C2)cc1,2.9427407,3.3992903,8.480054
A02478082,CCC(C)[C@H](NC(=O)NCCCn1ccnc1)C(=O)OC,0.09950547,3.0169537,5.13479
A02493456,CCC1Sc2ccccc2N(CC(=O)NCc2ccccc2OC)C1=O,-0.756228,2.5550098,5.9695873
A02502222,CN(CC1COCCO1)Cc1nc(no1)C(c1ccccc1)c1ccccc1,0.16279262,1.1984795,3.7099936
A02520808,CC1CN(CC(C)O1)C(=O)c1ccc(cc1)C(=O)c1ccccc1,-1.0029517,1.2526649,3.7738576
A02533491,COCCC(=O)N1CCCC2(CCN(CCN3CCCC3)C2=O)C1,2.851119,3.4874895,8.594086
A02534039,Cc1ccc(cc1)S(=O)(=O)N1CCC2(C1)CCCN(CC1CCOCC1)C2,-0.6845867,1.2130806,2.8731575
A02541814,CC(C)c1ccc(cc1)S(=O)(=O)N1CC2CCC1C2OCCN(C)C,-0.05263143,0.7040282,3.6964319
A02550634,CN(C1CCS(=O)(=O)C1)C(=O)c1ccncc1,-0.8226373,0.009675017,1.1307709
A02552823,CCOc1ccc(cc1)C1N(C(=O)Cc2cc(OC)c(OC)cc12)c1ccccc1,-0.91299057,-2.344005,1.3591352
A02562642,CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1cc(C)on1,0.16587359,2.58202,4.4345818
